sentence,doc
电子工业 是 高技术 复合 产业 ， 要求 基础 和 整机 、 硬件 和 软件 、 单机 产品 和 系统工程 、 生产 和 技术 服务 成龙配套 地 发展 ， 还 要求 科研 与 生产 紧密 结合 、 生产 规模 与 市场 需要 相 适应,Jiang1
我国 电子 工业 正 处于 新兴 时期 ， 各地区 各 部门 都 在 积极 发展 ， 形势 很 好,Jiang1
值得 注意 的 是 ， 大家 往往 对 投资 少 、 见效 快 、 市场 紧俏 的 某些 项目 （ 如 彩色 电视机 、 收录机 、 微型计算机 等 的 装配 生产 ） 争相 上马 ， 对 基础 产品 和 投资 多 、 难度 大 以及 应用 量 少 面 窄 的 一些 重要 项目 则 缺乏 积极性,Jiang1
这 有 可能 造成 电子 工业 内部 比例 失调,Jiang1
为了 把 各 方面 办 电子 事业 的 积极性 引导 到 有 计划 按 比例 健康 发展 的 轨道 上来 ， 必须 坚持 全国 一盘棋 ， 搞好 行业 规划 ， 并 在 统筹 规划 下 打破 部门 界限 和 地区 界限 ， 把 全国 从事 电子 科研 、 生产 、 教学 、 使用 的 力量 组织 起来 ， 合理 分工 ， 各 有 侧重 ， 大力 协同 ； 要 本着 解放 思想 、 实事求是 、 积极 实践 、 步子 踏实 的 指导思想 ， 对 电子工业 领导 管理体制 进行 系统 的 深入 的 改革 ， 以 政企 分开 为 方向 ， 简政 放权 ， 采用 经济 办法 ， 促进 企业 改组 联合 和 经济 技术 结构 合理化,Jiang1
（ 三 ） 实行 有限 目标 、 突出 重点 的 方针,Jiang1
电子 科学技术 和 电子 工业 门类 繁多 ， 面临 的 科研 、 试制 、 生产 的 任务 很 重 ， 而 国家 的 财力 物力 有限 ， 百事待兴,Jiang1
这就 要求 我们 从 实际情况 出发 ， 坚持 量力而行 、 突出 重点 ， 即 在 一定 的 发展 阶段 ， 确定 有限 目标 ， 集中 力量 抓 最 重要 的 产品 、 最 关键 的 技术 ， 通过 重点 突破 、 带动 全局 ， 争取 在 有限 投资 的 条件 下 取得 最好 的 效益,Jiang1
在 发展 我国 电子 工业 的 战略 部署 上 ， 近期 、 中期 应该 集中 主要 力量 发展 微电子工业 和 微型计算机 工业 ， 力争 在 “ 七五 ” 期间 建立 微电子工业 的 基础 ， 以 加速 军事 电子 装备 、 电子计算机 、 通信 设备 以及 其他 生产资料 类 重点 产品 的 发展 ， 加速 这些 产品 向 微电子 技术 基础 转移 ， 在 新 的 技术 基础 之上 实现 电子工业综合协调 发展,Jiang1
为了 集中 力量 保证 重点 ， 需要 正确 处理 集中 和 分散 的 关系,Jiang1
对 技术 和 资金 高度 密集 的 大规模集成电路 、 电子计算机 等 产品 的 科研 和 生产 ， 要 相对 集中 ， 选择 科研 、 教育 、 生产 力量 比较 雄厚 和 资源 条件 、 自然环境 比较 优越 的 地区 ， 作为 重点 建设 的 基地 ， 走 集约化 生产 的 路子 ， 而 对 这些 产品 的 应用 开发 则 应该 广泛 展开 ； 对 技术 上 比较 容易 掌握 、 应用 量 大 面 广 的 其他 电子 产品 ， 如 有些 消费类 电子 产品 ， 生产厂 点 可以 相对 分散 些 ， 但 也 要 进行 行业 规划 ， 并 按照 市场 需求 和 企业 素质 等 条件 合理 布局 ， 重点 扶持 有 优质 名牌 产品 的 企业 增加 生产 ， 做到 计划 指导 与 竞争 相 结合,Jiang1
（ 四 ） 进一步 实行 对外开放 政策 ， 积极 引进 和 采用 世界 先进 科技 成果,Jiang1
当代 电子 科学技术 日新月异 、 突飞猛进 ， 为了 缩短 与 世界 先进 水平 的 差距 ， 我们 既要 勇于 攀登 科学技术 高峰 ， 又要 采取 阶段 化 发展 战略 ， 即 在 一定 时期 内 力求 在 不同 层次 上 实现 阶段性 发展 目标 ， 以 保持 发展 的 相对 稳定性,Jiang1
在 国家 进一步 实行 对外开放 政策 的 新 形势 下 ， 要 进一步 扩大 对外 经济 技术交流 ， 采用 技贸 结合 、 工贸 结合 等 多种 方式 和 渠道 ， 引进 和 采用 适用 的 世界 先进 技术 和 现代化 管理 方法 ， 力争 跳 越 电子 技术 某些 传统 发展 阶段 ， 加速 技术 进步,Jiang1
在 某些 领域 或 项目 上 ， 我们 可以 实行 逆向 发展 的 模式 ， 即 对 社会 急需 而 我国 目前 又 不能 提供 的 产品 ， 可以 先 进口 元器件 和 设备 组装 生产 ， 或 进口 整机 ， 先 从 应用 开发 和 技术 服务 搞 起 ， 在 这个 过程 中 消化 吸收 、 改进 创新 ， 逐步 实现 国产化 ， 提高 自力更生 的 能力,Jiang1
要 充分 发挥 沿海开放城市 和 经济特区 对外 经济 技术交流 的 窗口 作用 ， 同时 选择 某些 重点 企业 ， 赋予 它们 更 大 的 对外 经营 活动 的 自主权 ， 更 有效 地 开展 对外 经济 技术交流 和 合作,Jiang1
在 进一步 对外开放 面临 国外 电子 产品 更加 激烈 竞争 的 情况 下 ， 应该 制定 我国 阶段性 电子 技术装备 政策 和 对 国产 电子产品有限度 的 适当 的 保护 政策 ， 以 利于 我国 民族 电子 工业 健康 发展,Jiang1
此外 ， 我们 要 注重 智力 资源 的 开发 ， 抓好 人才 培养,Jiang1
同时 ， 进一步 加强 和 改善 科技 队伍 管理 ， 继续 落实 好 知识分子 政策 ， 合理 使用 人才 ， 充分 发挥 现有 科技人员 的 作用,Jiang1
我们 还要 重视 新型 材料 的 开发 ， 为 电子工业 发展 奠定 物质 基础,Jiang1
今后 ， 应 着重 开发 大 直径 、 高 纯度 、 高 完整性 的 单晶 硅 及 其他 辅助 材料 ， 推进 砷化 镓 等 化合物 半导体 的 工业化 生产 ， 加快 信息 记录 材料 的 研制 、 敏感 材料 的 专业化 生产 和 光导纤维 及 其他 光纤 器件 、 制品 的 发展,Jiang1
我们 相信 ， 在 党 和 国家 重视 和 关怀 下 ， 各地区 各 部门 大力 协同 ， 实行 正确 的 发展 战略 和 对策 ， 我国 电子 工业 一定 能够 振兴 和 发展 ， 为 四化 建设 作出 应有 的 贡献,Jiang1
( 1) 这是 江泽民 同志 在 《 红旗 》 杂志 一九八四年 第十八期 上 发表 的 文章 的 主要 部分,Jiang1
江泽民 同志 当时 任 电子工业部 部长,Jiang1
人民政府 要 为 人民 办 实事 ( 1 ),Jiang1
（ 一九八七年一月十二日 ）,Jiang1
上海 是 我国 最 重要 的 工业 基地 之一 ， 也是 我国 最大 的 国际 港口 城市 和 经济 中心,Jiang1
解放 以来 ， 上海 为 全国 社会主义建设 作出 了 很 大 贡献,Jiang1
一九八五年 创造 的 工业 总产值 占 全国 的 十分之一 ， 财政收入 占 全国 的 七分之一 ； 全员 劳动生产率 、 人均 上缴 税利 、 人均工业净产值 、 百元 资金 实现 利税 等 主要 经济效益 指标 均 居 全国 第一位,Jiang1
这些 成绩 都是 在 党中央 、 国务院 领导 下 ， 在 全国 各 兄弟 省 区 市 大力 支持 下 ， 依靠 全市 人民 团结 奋斗 得来 的,Jiang1
但是 ， 上海 也 存在 着 许多 令人 忧虑 的 问题,Jiang1
由于 种种 原因 ， 上海 长期以来 过多 地 强调 发挥 工业 基地 的 作用 ， 忽视 城市 建设 ， 忽视 改善 人民群众 的 生活 环境 和 提高 人民群众 的 生活 质量 ， 致使 城市 基础 设施 十分 薄弱 ， 欠账 过多,Jiang1
比如 ， 上海 职工 住房 条件 很 差 ， 人均 居住 面积 在 三平方米 以下 或 三代 同堂 、 两对 夫妻 共 居 一 室 等 各类 困难户 有 四十六万九千户 （ 其中 特困户 约 八万户 ） ， 占 全市 一百九十七万户 的 百分之二十三点八 ， 此外 ， 还有 临时 过渡 户 约 五万户 ； 交通 拥挤 ， 市中心 车速 每 小时 只有 十五公里 ， 道路 经常 堵塞 ； 环境污染 严重 ， 黄浦江 、 苏州河 的 黑 臭期 逐年 延长 ， 工业 布局 不 合理 ， 厂房 同 居民 住房 混杂 ， 噪音 、 废气 影响 居民 休息 和 身心健康 ， 等等,Jiang1
这些 问题 的 存在 和 日趋 严重 ， 给 人民 生活 环境 的 改善 和 上海 经济 的 发展 带来 了 一系列 困难 和 障碍,Jiang1
作为 一 座 世界 著名 城市 ， 中央 要求 把 上海 建成 太平洋 西岸 最大 的 经济贸易中心 ， 这种 现状 也是 极 不 适应 的,Jiang1
努力 加快 城市 基础 设施 建设 ， 尽快 改变 上海 的 城市 面貌 和 市民 生活 环境 ， 迅速 扭转 目前 这 一 严峻 局势 ， 是 一 项 重大 、 迫切 、 艰巨 的 任务 ， 也是 上海 人民 的 强烈 愿望,Jiang1
人民政府 应该 把 完成 这项 任务 作为 自己 的 神圣 使命,Jiang1
对于 一个 市长 来说 ， 更 是 责无旁贷,Jiang1
城市 建设 是 一个 非常 复杂 的 系统工程,Jiang1
所有 经济 、 科学 、 教育 、 文化 、 卫生 以及 各种 社会 服务 设施 的 建设 ， 都 要 在 城市 这个 空间 范围 内 有 秩序 有 计划 地 进行,Jiang1
要 使 它们 各得其所 、 协调 发展 ， 这就 需要 有 科学 的 规划,Jiang1
在 市委 领导 下 ， 我们 总结 了 过去 的 经验 教训 ， 并 根据 上海 建设 和 发展 的 总 方针 ， 即 建成 开放型 、 多功能 的 综合性 基地 的 要求 ， 经过 反复 论证 ， 几 易 其 稿 ， 终于 形成 了 《 上海市 城市 总体 规划 方案 》 [ 1],Jiang1
在 党中央 、 国务院 领导 关心 下 ， 中央书记处 专门 讨论 ， 国务院 于 一九八六年十月 正式 批准 这个 规划 方案,Jiang1
规划 明确 了 指导思想 和 中心 内容 ， 强调 指出 重点 是 加强 城市 基础 设施 建设,Jiang1
这是 因为 城市 基础 设施 是 改造 和 振兴 上海 的 基础 和 条件,Jiang1
这个 问题 不 解决 ， 就 谈不上 吸引 外资 和 提高 人民 生活 质量,Jiang1
因此 ， 市政府 决定 “ 七五 ” 期间 要 把 加强 城市 基础 设施 建设 ， 改善 投资 环境 和 人民 生活 环境 ， 作为 努力 办 好的 三件 大事 [ 2] 之一,Jiang1
但是 ， 由于 目前 上海 的 基础 设施 十分 薄弱 、 欠账 太 多 ， 又 由于 目前 我国 的 财力 物力 还 不 雄厚 ， 因此 要 想 在 较 短 的 时期 内 还清 欠账 ， 一下子 出现 一个 崭新 的 面貌 是 不 现实 的 ， 也是 不可能 的,Jiang1
据 有关 部门 计算 ， 要 初步 改变 上海 城市 基础 设施 落后 的 状况 ， 需要 数百亿元 的 巨额 投资,Jiang1
按 上海 现有 的 财力 ， 得 几十年 才能 解决,Jiang1
为了 解决 城市 建设 和 资金不足 的 矛盾 ， 市委 、 市政府 经过 多次 研究 ， 提出 采用 吸引 外资 的 办法 来 弥补 国内 资金 的 不足 ， 加速 上海 城市 基础 设施 建设,Jiang1
这 一 设想 得到 了 党中央 、 国务院 的 赞同 和 支持 ， 并 给 了 上海 特殊 的 政策 ， 使 上海 城市 建设 能 迈出 新 的 步子,Jiang1
目前 ， 准备 吸引 外资 搞 的 大 项目 已经 定 了 五个 ， 即 建造 黄浦江大桥 、 地下 铁道一号 线 、 扩建 虹桥机场 候机楼 、 扩建 通讯 设施 、 污水 合流 治理 工程,Jiang1
《 上海市 城市 总体 规划 方案 》 的 实施 既 需要 资金 ， 也 需要 时间 ， 而 人民群众 时时 碰到 的 大量 实际 困难 又 亟待 解决,Jiang1
当 我们 在 车站 上 、 车厢 里 看到 拥挤不堪 的 人群 时 ， 当 我们 看到 孩子 们 在 简陋 甚至 危险 的 教室 里 上课 、 数万名 幼儿 入托 入园 难 使 年轻 父母 愁眉不展 时 ， 当 我们 了解 到 有的 怀孕 女工 因 上班 挤车 造成 流产 、 全市 有 两万名 职工 上下班 路上 要 花 四小时 以上 的 时间 时 ， 当 我们 看到 一 场 暴雨 使 十一万户 居民 家中 进水 时 ， 心里 就 感到 深深 不安,Jiang1
人民群众 是 我们 国家 的 主人 ， 我们 是 人民 的 公仆 ， 有 责任 为 他们 解除 后顾之忧,Jiang1
因此 ， 在 规划 方案 批 下来 之前 ， 我们 决定 在 目前 国家 财力 有限 的 情况 下 ， 本着 实事求是 的 精神 ， 积极 想 办法 ， 每年 扎扎实实 为 人民群众 办 几件 看 得 见 、 摸 得 着 、 群众 又 急需 解决 的 实事,Jiang1
